Period End Date,Value,Accession Number,Fiscal Year,Fiscal Period,Form Type,Filing Date,frame,year,quarter,month
2025-03-29,26136000000.0,0000320193-25-000057,2025.0,Q2,10-Q,2025-05-02,CY2025Q1I,2025,1,3
2024-12-28,29639000000.0,0000320193-25-000008,2025.0,Q1,10-Q,2025-01-31,CY2024Q4I,2024,4,12
2024-09-28,33410000000.0,0000320193-25-000057,2025.0,Q2,10-Q,2025-05-02,CY2024Q3I,2024,3,9
2024-09-28,33410000000.0,0000320193-25-000008,2025.0,Q1,10-Q,2025-01-31,,2024,3,9
2024-09-28,33410000000.0,0000320193-24-000123,2024.0,FY,10-K,2024-11-01,,2024,3,9
2024-06-29,22795000000.0,0000320193-24-000081,2024.0,Q3,10-Q,2024-08-02,CY2024Q2I,2024,2,6
2024-03-30,21837000000.0,0000320193-24-000069,2024.0,Q2,10-Q,2024-05-03,CY2024Q1I,2024,1,3
2023-12-30,23194000000.0,0000320193-24-000006,2024.0,Q1,10-Q,2024-02-02,CY2023Q4I,2023,4,12
2023-09-30,29508000000.0,0000320193-24-000069,2024.0,Q2,10-Q,2024-05-03,,2023,3,9
2023-09-30,29508000000.0,0000320193-23-000106,2023.0,FY,10-K,2023-11-03,,2023,3,9
2023-09-30,29508000000.0,0000320193-24-000006,2024.0,Q1,10-Q,2024-02-02,,2023,3,9
2023-09-30,29508000000.0,0000320193-24-000123,2024.0,FY,10-K,2024-11-01,CY2023Q3I,2023,3,9
2023-09-30,29508000000.0,0000320193-24-000081,2024.0,Q3,10-Q,2024-08-02,,2023,3,9
2023-07-01,19549000000.0,0000320193-23-000077,2023.0,Q3,10-Q,2023-08-04,CY2023Q2I,2023,3,7
2023-04-01,17936000000.0,0000320193-23-000064,2023.0,Q2,10-Q,2023-05-05,CY2023Q1I,2023,2,4
2022-12-31,23752000000.0,0000320193-23-000006,2023.0,Q1,10-Q,2023-02-03,CY2022Q4I,2022,4,12
2022-09-24,28184000000.0,0000320193-23-000064,2023.0,Q2,10-Q,2023-05-05,,2022,3,9
2022-09-24,28184000000.0,0000320193-22-000108,2022.0,FY,10-K,2022-10-28,,2022,3,9
2022-09-24,28184000000.0,0000320193-23-000006,2023.0,Q1,10-Q,2023-02-03,,2022,3,9
2022-09-24,28184000000.0,0000320193-23-000106,2023.0,FY,10-K,2023-11-03,CY2022Q3I,2022,3,9
2022-09-24,28184000000.0,0000320193-23-000077,2023.0,Q3,10-Q,2023-08-04,,2022,3,9
2022-06-25,21803000000.0,0000320193-22-000070,2022.0,Q3,10-Q,2022-07-29,CY2022Q2I,2022,2,6
2022-03-26,20815000000.0,0000320193-22-000059,2022.0,Q2,10-Q,2022-04-29,CY2022Q1I,2022,1,3
2021-12-25,30213000000.0,0000320193-22-000007,2022.0,Q1,10-Q,2022-01-28,CY2021Q4I,2021,4,12
2021-09-25,26278000000.0,0000320193-22-000108,2022.0,FY,10-K,2022-10-28,CY2021Q3I,2021,3,9
2021-09-25,26278000000.0,0000320193-22-000070,2022.0,Q3,10-Q,2022-07-29,,2021,3,9
2021-09-25,26278000000.0,0000320193-22-000059,2022.0,Q2,10-Q,2022-04-29,,2021,3,9
2021-09-25,26278000000.0,0000320193-22-000007,2022.0,Q1,10-Q,2022-01-28,,2021,3,9
2021-09-25,26278000000.0,0000320193-21-000105,2021.0,FY,10-K,2021-10-29,,2021,3,9
2021-06-26,17475000000.0,0000320193-21-000065,2021.0,Q3,10-Q,2021-07-28,CY2021Q2I,2021,2,6
2021-03-27,18503000000.0,0000320193-21-000056,2021.0,Q2,10-Q,2021-04-29,CY2021Q1I,2021,1,3
2020-12-26,27101000000.0,0000320193-21-000010,2021.0,Q1,10-Q,2021-01-28,CY2020Q4I,2020,4,12
2020-09-26,16120000000.0,0000320193-21-000056,2021.0,Q2,10-Q,2021-04-29,,2020,3,9
2020-09-26,16120000000.0,0000320193-20-000096,2020.0,FY,10-K,2020-10-30,,2020,3,9
2020-09-26,16120000000.0,0000320193-21-000010,2021.0,Q1,10-Q,2021-01-28,,2020,3,9
2020-09-26,16120000000.0,0000320193-21-000105,2021.0,FY,10-K,2021-10-29,CY2020Q3I,2020,3,9
2020-09-26,16120000000.0,0000320193-21-000065,2021.0,Q3,10-Q,2021-07-28,,2020,3,9
2020-06-27,17882000000.0,0000320193-20-000062,2020.0,Q3,10-Q,2020-07-31,CY2020Q2I,2020,2,6
2020-03-28,15722000000.0,0000320193-20-000052,2020.0,Q2,10-Q,2020-05-01,CY2020Q1I,2020,1,3
2019-12-28,20970000000.0,0000320193-20-000010,2020.0,Q1,10-Q,2020-01-29,CY2019Q4I,2019,4,12
2019-09-28,22926000000.0,0000320193-20-000096,2020.0,FY,10-K,2020-10-30,CY2019Q3I,2019,3,9
2019-09-28,22926000000.0,0000320193-20-000062,2020.0,Q3,10-Q,2020-07-31,,2019,3,9
2019-09-28,22926000000.0,0000320193-20-000052,2020.0,Q2,10-Q,2020-05-01,,2019,3,9
2019-09-28,22926000000.0,0000320193-20-000010,2020.0,Q1,10-Q,2020-01-29,,2019,3,9
2019-09-28,22926000000.0,0000320193-19-000119,2019.0,FY,10-K,2019-10-31,,2019,3,9
2019-06-29,14148000000.0,0000320193-19-000076,2019.0,Q3,10-Q,2019-07-31,CY2019Q2I,2019,2,6
2019-03-30,15085000000.0,0000320193-19-000066,2019.0,Q2,10-Q,2019-05-01,CY2019Q1I,2019,1,3
2018-12-29,18077000000.0,0000320193-19-000010,2019.0,Q1,10-Q,2019-01-30,CY2018Q4I,2018,4,12
2018-09-29,23186000000.0,0000320193-19-000010,2019.0,Q1,10-Q,2019-01-30,,2018,3,9
2018-09-29,23186000000.0,0000320193-18-000145,2018.0,FY,10-K,2018-11-05,,2018,3,9
2018-09-29,23186000000.0,0000320193-19-000066,2019.0,Q2,10-Q,2019-05-01,,2018,3,9
2018-09-29,23186000000.0,0000320193-19-000076,2019.0,Q3,10-Q,2019-07-31,,2018,3,9
2018-09-29,23186000000.0,0000320193-19-000119,2019.0,FY,10-K,2019-10-31,CY2018Q3I,2018,3,9
2018-06-30,14104000000.0,0000320193-18-000100,2018.0,Q3,10-Q,2018-08-01,CY2018Q2I,2018,2,6
2018-03-31,14324000000.0,0000320193-18-000070,2018.0,Q2,10-Q,2018-05-02,CY2018Q1I,2018,1,3
2017-12-30,23440000000.0,0000320193-18-000007,2018.0,Q1,10-Q,2018-02-02,CY2017Q4I,2017,4,12
2017-09-30,17874000000.0,0000320193-18-000145,2018.0,FY,10-K,2018-11-05,CY2017Q3I,2017,3,9
2017-09-30,17874000000.0,0000320193-18-000100,2018.0,Q3,10-Q,2018-08-01,,2017,3,9
2017-09-30,17874000000.0,0000320193-18-000070,2018.0,Q2,10-Q,2018-05-02,,2017,3,9
2017-09-30,17874000000.0,0000320193-18-000007,2018.0,Q1,10-Q,2018-02-02,,2017,3,9
2017-09-30,17874000000.0,0000320193-17-000070,2017.0,FY,10-K,2017-11-03,,2017,3,9
2017-07-01,12399000000.0,0000320193-17-000009,2017.0,Q3,10-Q,2017-08-02,CY2017Q2I,2017,3,7
2017-04-01,11579000000.0,0001628280-17-004790,2017.0,Q2,10-Q,2017-05-03,CY2017Q1I,2017,2,4
2016-12-31,14057000000.0,0001628280-17-000717,2017.0,Q1,10-Q,2017-02-01,CY2016Q4I,2016,4,12
2016-09-24,15754000000.0,0000320193-17-000009,2017.0,Q3,10-Q,2017-08-02,,2016,3,9
2016-09-24,15754000000.0,0000320193-17-000070,2017.0,FY,10-K,2017-11-03,CY2016Q3I,2016,3,9
2016-09-24,15754000000.0,0001628280-17-004790,2017.0,Q2,10-Q,2017-05-03,,2016,3,9
2016-09-24,15754000000.0,0001628280-17-000717,2017.0,Q1,10-Q,2017-02-01,,2016,3,9
2016-09-24,15754000000.0,0001628280-16-020309,2016.0,FY,10-K,2016-10-26,,2016,3,9
2016-06-25,11714000000.0,0001628280-16-017809,2016.0,Q3,10-Q,2016-07-27,CY2016Q2I,2016,2,6
2016-03-26,12229000000.0,0001193125-16-559625,2016.0,Q2,10-Q,2016-04-27,CY2016Q1I,2016,1,3
2015-12-26,12953000000.0,0001193125-16-439878,2016.0,Q1,10-Q,2016-01-27,CY2015Q4I,2015,4,12
2015-09-26,16849000000.0,0001628280-16-020309,2016.0,FY,10-K,2016-10-26,CY2015Q3I,2015,3,9
2015-09-26,16849000000.0,0001628280-16-017809,2016.0,Q3,10-Q,2016-07-27,,2015,3,9
2015-09-26,16849000000.0,0001193125-16-559625,2016.0,Q2,10-Q,2016-04-27,,2015,3,9
2015-09-26,16849000000.0,0001193125-16-439878,2016.0,Q1,10-Q,2016-01-27,,2015,3,9
2015-09-26,16849000000.0,0001193125-15-356351,2015.0,FY,10-K,2015-10-28,,2015,3,9
2015-06-27,10370000000.0,0001193125-15-259935,2015.0,Q3,10-Q,2015-07-22,CY2015Q2I,2015,2,6
2015-03-28,10905000000.0,0001193125-15-153166,2015.0,Q2,10-Q,2015-04-28,CY2015Q1I,2015,1,3
2014-12-27,16709000000.0,0001193125-15-023697,2015.0,Q1,10-Q,2015-01-28,CY2014Q4I,2014,4,12
2014-09-27,17460000000.0,0001193125-15-023732,,,8-K,2015-01-28,,2014,3,9
2014-09-27,17460000000.0,0001193125-14-383437,2014.0,FY,10-K,2014-10-27,,2014,3,9
2014-09-27,17460000000.0,0001193125-15-023697,2015.0,Q1,10-Q,2015-01-28,,2014,3,9
2014-09-27,17460000000.0,0001193125-15-153166,2015.0,Q2,10-Q,2015-04-28,,2014,3,9
2014-09-27,17460000000.0,0001193125-15-259935,2015.0,Q3,10-Q,2015-07-22,,2014,3,9
2014-09-27,17460000000.0,0001193125-15-356351,2015.0,FY,10-K,2015-10-28,CY2014Q3I,2014,3,9
2014-06-28,10788000000.0,0001193125-14-277160,2014.0,Q3,10-Q,2014-07-23,CY2014Q2I,2014,2,6
2014-03-29,9700000000.0,0001193125-14-157311,2014.0,Q2,10-Q,2014-04-24,CY2014Q1I,2014,1,3
2013-12-28,14200000000.0,0001193125-14-024487,2014.0,Q1,10-Q,2014-01-28,CY2013Q4I,2013,4,12
2013-09-28,13102000000.0,0001193125-15-023732,,,8-K,2015-01-28,CY2013Q3I,2013,3,9
2013-09-28,13102000000.0,0001193125-14-383437,2014.0,FY,10-K,2014-10-27,,2013,3,9
2013-09-28,13102000000.0,0001193125-14-277160,2014.0,Q3,10-Q,2014-07-23,,2013,3,9
2013-09-28,13102000000.0,0001193125-14-157311,2014.0,Q2,10-Q,2014-04-24,,2013,3,9
2013-09-28,13102000000.0,0001193125-14-024487,2014.0,Q1,10-Q,2014-01-28,,2013,3,9
2013-09-28,13102000000.0,0001193125-13-416534,2013.0,FY,10-K,2013-10-30,,2013,3,9
2013-06-29,8839000000.0,0001193125-13-300670,2013.0,Q3,10-Q,2013-07-24,CY2013Q2I,2013,2,6
2013-03-30,7084000000.0,0001193125-13-168288,2013.0,Q2,10-Q,2013-04-24,CY2013Q1I,2013,1,3
2012-12-29,11598000000.0,0001193125-13-022339,2013.0,Q1,10-Q,2013-01-24,CY2012Q4I,2012,4,12
2012-09-29,10930000000.0,0001193125-12-444068,2012.0,FY,10-K,2012-10-31,,2012,3,9
2012-09-29,10930000000.0,0001193125-13-300670,2013.0,Q3,10-Q,2013-07-24,,2012,3,9
2012-09-29,10930000000.0,0001193125-13-168288,2013.0,Q2,10-Q,2013-04-24,,2012,3,9
2012-09-29,10930000000.0,0001193125-13-022339,2013.0,Q1,10-Q,2013-01-24,,2012,3,9
2012-09-29,10930000000.0,0001193125-13-416534,2013.0,FY,10-K,2013-10-30,CY2012Q3I,2012,3,9
2012-09-29,10930000000.0,0001193125-13-170623,2012.0,FY,8-K,2013-04-24,,2012,3,9
2012-06-30,7657000000.0,0001193125-12-314552,2012.0,Q3,10-Q,2012-07-25,CY2012Q2I,2012,2,6
2012-03-31,7042000000.0,0001193125-12-182321,2012.0,Q2,10-Q,2012-04-25,CY2012Q1I,2012,1,3
2011-12-31,8930000000.0,0001193125-12-023398,2012.0,Q1,10-Q,2012-01-25,CY2011Q4I,2011,4,12
2011-09-24,5369000000.0,0001193125-13-170623,2012.0,FY,8-K,2013-04-24,CY2011Q3I,2011,3,9
2011-09-24,5369000000.0,0001193125-12-444068,2012.0,FY,10-K,2012-10-31,,2011,3,9
2011-09-24,5369000000.0,0001193125-12-314552,2012.0,Q3,10-Q,2012-07-25,,2011,3,9
2011-09-24,5369000000.0,0001193125-12-182321,2012.0,Q2,10-Q,2012-04-25,,2011,3,9
2011-09-24,5369000000.0,0001193125-12-023398,2012.0,Q1,10-Q,2012-01-25,,2011,3,9
2011-09-24,5369000000.0,0001193125-11-282113,2011.0,FY,10-K,2011-10-26,,2011,3,9
2011-06-25,6102000000.0,0001193125-11-192493,2011.0,Q3,10-Q,2011-07-20,CY2011Q2I,2011,2,6
2011-03-26,5798000000.0,0001193125-11-104388,2011.0,Q2,10-Q,2011-04-21,CY2011Q1I,2011,1,3
2010-12-25,6027000000.0,0001193125-11-010144,2011.0,Q1,10-Q,2011-01-19,CY2010Q4I,2010,4,12
2010-09-25,5510000000.0,0001193125-11-104388,2011.0,Q2,10-Q,2011-04-21,,2010,3,9
2010-09-25,5510000000.0,0001193125-10-238044,2010.0,FY,10-K,2010-10-27,,2010,3,9
2010-09-25,5510000000.0,0001193125-11-010144,2011.0,Q1,10-Q,2011-01-19,,2010,3,9
2010-09-25,5510000000.0,0001193125-11-282113,2011.0,FY,10-K,2011-10-26,CY2010Q3I,2010,3,9
2010-09-25,5510000000.0,0001193125-11-192493,2011.0,Q3,10-Q,2011-07-20,,2010,3,9
2010-06-26,3447000000.0,0001193125-10-162840,2010.0,Q3,10-Q,2010-07-21,CY2010Q2I,2010,2,6
2010-03-27,2886000000.0,0001193125-10-088957,2010.0,Q2,10-Q,2010-04-21,CY2010Q1I,2010,1,3
2009-12-26,3090000000.0,0001193125-10-012085,2010.0,Q1,10-Q,2010-01-25,CY2009Q4I,2009,4,12
2009-09-26,3361000000.0,0001193125-10-238044,2010.0,FY,10-K,2010-10-27,CY2009Q3I,2009,3,9
2009-09-26,3361000000.0,0001193125-10-162840,2010.0,Q3,10-Q,2010-07-21,,2009,3,9
2009-09-26,3361000000.0,0001193125-10-088957,2010.0,Q2,10-Q,2010-04-21,,2009,3,9
2009-09-26,3361000000.0,0001193125-10-012091,2009.0,FY,10-K/A,2010-01-25,,2009,3,9
2009-09-26,3361000000.0,0001193125-10-012085,2010.0,Q1,10-Q,2010-01-25,,2009,3,9
2009-09-26,3361000000.0,0001193125-09-214859,2009.0,FY,10-K,2009-10-27,,2009,3,9
2009-06-27,2686000000.0,0001193125-09-153165,2009.0,Q3,10-Q,2009-07-22,CY2009Q2I,2009,2,6
2008-09-27,2422000000.0,0001193125-10-012091,2009.0,FY,10-K/A,2010-01-25,CY2008Q3I,2008,3,9
2008-09-27,2422000000.0,0001193125-09-214859,2009.0,FY,10-K,2009-10-27,,2008,3,9
2008-09-27,2422000000.0,0001193125-09-153165,2009.0,Q3,10-Q,2009-07-22,,2008,3,9
